index;id;Gender;Customer Type;Age;Type of Travel;Class;Flight Distance;Inflight wifi service;Departure/Arrival time convenient;Ease of Online booking;Gate location;Food and drink;Online boarding;Seat comfort;Inflight entertainment;On-board service;Leg room service;Baggage handling;Checkin service;Inflight service;Cleanliness;Departure Delay in Minutes;Arrival Delay in Minutes;satisfaction
0;70172;Male;Loyal Customer;13;Personal Travel;Eco Plus;460;3;4;3;1;5;3;5;5;4;3;4;4;5;5;25;18.0;neutral or dissatisfied
1;5047;Male;disloyal Customer;25;Business travel;Business;235;3;2;3;3;1;3;1;1;1;5;3;1;4;1;1;6.0;neutral or dissatisfied
2;110028;Female;Loyal Customer;26;Business travel;Business;1142;2;2;2;2;5;5;5;5;4;3;4;4;4;5;0;0.0;satisfied
3;24026;Female;Loyal Customer;25;Business travel;Business;562;2;5;5;5;2;2;2;2;2;5;3;1;4;2;11;9.0;neutral or dissatisfied
4;119299;Male;Loyal Customer;61;Business travel;Business;214;3;3;3;3;4;5;5;3;3;4;4;3;3;3;0;0.0;satisfied
5;111157;Female;Loyal Customer;26;Personal Travel;Eco;1180;3;4;2;1;1;2;1;1;3;4;4;4;4;1;0;0.0;neutral or dissatisfied
6;82113;Male;Loyal Customer;47;Personal Travel;Eco;1276;2;4;2;3;2;2;2;2;3;3;4;3;5;2;9;23.0;neutral or dissatisfied
7;96462;Female;Loyal Customer;52;Business travel;Business;2035;4;3;4;4;5;5;5;5;5;5;5;4;5;4;4;0.0;satisfied
8;79485;Female;Loyal Customer;41;Business travel;Business;853;1;2;2;2;4;3;3;1;1;2;1;4;1;2;0;0.0;neutral or dissatisfied
9;65725;Male;disloyal Customer;20;Business travel;Eco;1061;3;3;3;4;2;3;3;2;2;3;4;4;3;2;0;0.0;neutral or dissatisfied
10;34991;Female;disloyal Customer;24;Business travel;Eco;1182;4;5;5;4;2;5;2;2;3;3;5;3;5;2;0;0.0;neutral or dissatisfied
11;51412;Female;Loyal Customer;12;Personal Travel;Eco Plus;308;2;4;2;2;1;2;1;1;1;2;5;5;5;1;0;0.0;neutral or dissatisfied
12;98628;Male;Loyal Customer;53;Business travel;Eco;834;1;4;4;4;1;1;1;1;1;1;3;4;4;1;28;8.0;neutral or dissatisfied
13;83502;Male;Loyal Customer;33;Personal Travel;Eco;946;4;2;4;3;4;4;4;4;4;5;2;2;2;4;0;0.0;satisfied
14;95789;Female;Loyal Customer;26;Personal Travel;Eco;453;3;2;3;2;2;3;2;2;4;3;2;2;1;2;43;35.0;neutral or dissatisfied
15;100580;Male;disloyal Customer;13;Business travel;Eco;486;2;1;2;3;4;2;1;4;2;1;4;1;3;4;1;0.0;neutral or dissatisfied
16;71142;Female;Loyal Customer;26;Business travel;Business;2123;3;3;3;3;4;4;4;4;5;3;4;5;4;4;49;51.0;satisfied
17;127461;Male;Loyal Customer;41;Business travel;Business;2075;4;4;2;4;4;4;4;5;5;5;5;3;5;5;0;10.0;satisfied
18;70354;Female;Loyal Customer;45;Business travel;Business;2486;4;4;4;4;3;4;5;5;5;5;5;3;5;4;7;5.0;satisfied
19;66246;Male;Loyal Customer;38;Personal Travel;Eco;460;2;3;3;2;5;3;5;5;1;2;4;3;2;5;17;18.0;neutral or dissatisfied
20;39076;Male;Loyal Customer;9;Business travel;Eco;1174;2;4;2;4;2;2;1;2;1;5;3;4;3;2;0;4.0;neutral or dissatisfied
21;22434;Female;Loyal Customer;17;Personal Travel;Eco;208;3;1;3;3;5;3;5;5;2;5;3;3;4;5;0;0.0;neutral or dissatisfied
22;43510;Female;Loyal Customer;43;Personal Travel;Eco;752;3;5;3;5;5;4;5;3;3;3;5;3;3;4;52;29.0;neutral or dissatisfied
23;114090;Female;Loyal Customer;58;Personal Travel;Eco;2139;4;5;4;5;4;3;4;4;4;4;4;2;4;2;0;0.0;neutral or dissatisfied
24;105420;Female;disloyal Customer;23;Business travel;Eco;452;5;0;5;1;1;5;1;1;4;5;5;3;5;1;54;44.0;satisfied
25;102956;Male;Loyal Customer;57;Personal Travel;Eco;719;4;4;4;1;5;4;5;5;3;2;4;4;5;5;27;28.0;neutral or dissatisfied
26;18510;Female;Loyal Customer;33;Business travel;Business;1561;1;1;1;1;1;5;3;4;4;4;3;5;4;2;0;0.0;satisfied
27;14925;Female;Loyal Customer;49;Business travel;Eco Plus;315;4;4;4;4;2;2;1;4;4;4;4;2;4;2;0;8.0;satisfied
28;118319;Female;Loyal Customer;36;Business travel;Business;3347;3;1;1;1;1;2;1;3;3;3;3;2;3;2;18;12.0;neutral or dissatisfied
29;75460;Male;Loyal Customer;22;Personal Travel;Eco;2342;3;2;3;3;3;3;1;3;2;4;3;4;2;3;19;0.0;neutral or dissatisfied
30;48492;Female;Loyal Customer;31;Business travel;Business;819;4;4;4;4;5;5;5;5;5;4;3;1;5;5;0;0.0;satisfied
